"run","random_seed","tick","ID","RideBikeHabitStrength","TakeCarHabitStrength","WalkHabitStrength"
1,1772274092,1.0,7,0.5,0.8036615834017216,0.5
1,1772274092,1.0,3,0.5,0.5645546760949228,0.5
1,1772274092,1.0,9,0.5,0.7481114640636678,0.5
1,1772274092,1.0,11,0.5,0.74187383347843,0.5
1,1772274092,1.0,13,0.8700993883720121,0.5,0.5
1,1772274092,1.0,6,0.5,0.5999602298972501,0.5
1,1772274092,1.0,12,0.5738398137941902,0.5,0.5
1,1772274092,1.0,10,0.5,0.8584091537539214,0.5
1,1772274092,1.0,8,0.5,0.6836362076823015,0.5
1,1772274092,1.0,5,0.5,0.6116775991641326,0.5
1,1772274092,1.0,14,0.5,0.5666404746123674,0.5
1,1772274092,1.0,15,0.5,0.7058044559275345,0.5
1,1772274092,1.0,1,0.5,0.6881700387789749,0.5
1,1772274092,1.0,4,0.5,0.5730778982004641,0.5
1,1772274092,1.0,2,0.5,0.8971639781286762,0.5
