"run","random_seed","tick","ID","RideBikeHabitStrength","TakeCarHabitStrength","WalkHabitStrength"
1,1390104466,1.0,14,0.5,0.5,0.7957051381518849
1,1390104466,1.0,7,0.7429811996051267,0.5,0.5
1,1390104466,1.0,2,0.5,0.5924858789350793,0.5
1,1390104466,1.0,9,0.5,0.6747075119058776,0.5
1,1390104466,1.0,10,0.5,0.5062575409936723,0.5
1,1390104466,1.0,11,0.5,0.6487280385846299,0.5
1,1390104466,1.0,8,0.5,0.6549782043458323,0.5
1,1390104466,1.0,5,0.5,0.7550959381929805,0.5
1,1390104466,1.0,3,0.5,0.7798628271223258,0.5
1,1390104466,1.0,15,0.5,0.5,0.5114906761601579
1,1390104466,1.0,4,0.5,0.7512593278973028,0.5
1,1390104466,1.0,13,0.5,0.8127583457013263,0.5
1,1390104466,1.0,6,0.5,0.6142845348702279,0.5
1,1390104466,1.0,12,0.5,0.6987350746566451,0.5
1,1390104466,1.0,1,0.5,0.6934597860501114,0.5
