"run","random_seed","tick","ID","ChosenMode"
1,1772182948,1.0,8,"IntentionalAll"
1,1772182948,1.0,11,"IntentionalAll"
1,1772182948,1.0,12,"IntentionalAll"
1,1772182948,1.0,4,"Intentional0"
1,1772182948,1.0,2,"Intentional0"
1,1772182948,1.0,1,"IntentionalAll"
1,1772182948,1.0,7,"IntentionalAll"
1,1772182948,1.0,6,"IntentionalAll"
1,1772182948,1.0,14,"IntentionalAll"
1,1772182948,1.0,3,"Intentional0"
1,1772182948,1.0,13,"Intentional0"
1,1772182948,1.0,5,"Intentional0"
1,1772182948,1.0,9,"Intentional0"
1,1772182948,1.0,15,"IntentionalAll"
1,1772182948,1.0,10,"Intentional0"
1,1772182948,2.0,8,"IntentionalAll"
1,1772182948,2.0,11,"Habitual"
1,1772182948,2.0,12,"Habitual"
1,1772182948,2.0,4,"IntentionalAll"
1,1772182948,2.0,2,"IntentionalAll"
1,1772182948,2.0,1,"IntentionalAll"
1,1772182948,2.0,7,"IntentionalAll"
1,1772182948,2.0,6,"IntentionalAll"
1,1772182948,2.0,14,"Habitual"
1,1772182948,2.0,3,"Habitual"
1,1772182948,2.0,13,"IntentionalAll"
1,1772182948,2.0,5,"IntentionalAll"
1,1772182948,2.0,9,"IntentionalAll"
1,1772182948,2.0,15,"Habitual"
1,1772182948,2.0,10,"IntentionalAll"
1,1772182948,3.0,8,"Habitual"
1,1772182948,3.0,11,"Habitual"
1,1772182948,3.0,12,"IntentionalAll"
1,1772182948,3.0,4,"Habitual"
1,1772182948,3.0,2,"Habitual"
1,1772182948,3.0,1,"IntentionalAll"
1,1772182948,3.0,7,"IntentionalAll"
1,1772182948,3.0,6,"IntentionalAll"
1,1772182948,3.0,14,"IntentionalAll"
1,1772182948,3.0,3,"IntentionalAll"
1,1772182948,3.0,13,"Habitual"
1,1772182948,3.0,5,"Habitual"
1,1772182948,3.0,9,"Habitual"
1,1772182948,3.0,15,"IntentionalAll"
1,1772182948,3.0,10,"IntentionalAll"
1,1772182948,4.0,8,"IntentionalAll"
1,1772182948,4.0,11,"Habitual"
1,1772182948,4.0,12,"IntentionalAll"
1,1772182948,4.0,4,"Habitual"
1,1772182948,4.0,2,"IntentionalAll"
1,1772182948,4.0,1,"IntentionalAll"
1,1772182948,4.0,7,"IntentionalAll"
1,1772182948,4.0,6,"IntentionalAll"
1,1772182948,4.0,14,"Habitual"
1,1772182948,4.0,3,"IntentionalAll"
1,1772182948,4.0,13,"Habitual"
1,1772182948,4.0,5,"Habitual"
1,1772182948,4.0,9,"IntentionalAll"
1,1772182948,4.0,15,"Habitual"
1,1772182948,4.0,10,"Habitual"
1,1772182948,5.0,8,"IntentionalAll"
1,1772182948,5.0,11,"IntentionalAll"
1,1772182948,5.0,12,"IntentionalAll"
1,1772182948,5.0,4,"Habitual"
1,1772182948,5.0,2,"IntentionalAll"
1,1772182948,5.0,1,"IntentionalAll"
1,1772182948,5.0,7,"Habitual"
1,1772182948,5.0,6,"IntentionalAll"
1,1772182948,5.0,14,"Habitual"
1,1772182948,5.0,3,"Habitual"
1,1772182948,5.0,13,"IntentionalAll"
1,1772182948,5.0,5,"IntentionalAll"
1,1772182948,5.0,9,"IntentionalAll"
1,1772182948,5.0,15,"IntentionalAll"
1,1772182948,5.0,10,"IntentionalAll"
1,1772182948,6.0,8,"Habitual"
1,1772182948,6.0,11,"IntentionalAll"
1,1772182948,6.0,12,"IntentionalAll"
1,1772182948,6.0,4,"IntentionalAll"
1,1772182948,6.0,2,"Habitual"
1,1772182948,6.0,1,"Habitual"
1,1772182948,6.0,7,"IntentionalAll"
1,1772182948,6.0,6,"IntentionalAll"
